epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18419.3,1.37679,0.89974,1.23002,0.83624,0.81377,0.84139,0.56475,1.0775,0.49357,1.03888,0.004456,0.004456,0.004456
44,18845.9,1.37375,0.89891,1.2295,0.83744,0.81363,0.84075,0.56456,1.07643,0.4926,1.03847,0.004324,0.004324,0.004324
45,19272.5,1.372,0.89005,1.22998,0.84555,0.81132,0.8407,0.56425,1.07591,0.49208,1.03775,0.004192,0.004192,0.004192
46,19699.2,1.36715,0.88893,1.22736,0.8459,0.80727,0.83883,0.56443,1.07538,0.49126,1.03732,0.00406,0.00406,0.00406
47,20125.2,1.3624,0.88372,1.22593,0.8588,0.80948,0.83929,0.56516,1.07474,0.49027,1.0368,0.003928,0.003928,0.003928
48,20551.6,1.36109,0.87826,1.221,0.86312,0.80869,0.84024,0.56516,1.07425,0.49016,1.03596,0.003796,0.003796,0.003796
49,20978.7,1.35672,0.87414,1.21977,0.86492,0.80718,0.84062,0.56646,1.0739,0.48926,1.03552,0.003664,0.003664,0.003664
50,21405.8,1.3538,0.87359,1.2209,0.86615,0.80827,0.84132,0.56626,1.07357,0.48874,1.03505,0.003532,0.003532,0.003532
51,21832.9,1.34725,0.85959,1.21222,0.86768,0.80909,0.84148,0.56667,1.07326,0.48832,1.03445,0.0034,0.0034,0.0034
52,22259.7,1.35492,0.86852,1.21622,0.86912,0.81189,0.84172,0.56717,1.07309,0.48762,1.03403,0.003268,0.003268,0.003268
53,22686.1,1.34575,0.85984,1.21131,0.8706,0.80561,0.84096,0.56728,1.07263,0.4868,1.03345,0.003136,0.003136,0.003136
54,23112.7,1.34083,0.85505,1.21075,0.87458,0.80593,0.84257,0.56754,1.07197,0.48582,1.03302,0.003004,0.003004,0.003004
55,23540,1.33487,0.84323,1.20823,0.88495,0.80126,0.84283,0.56998,1.07142,0.48514,1.03234,0.002872,0.002872,0.002872
56,23967.2,1.33266,0.84016,1.20382,0.88541,0.80224,0.84367,0.5705,1.07077,0.4839,1.03192,0.00274,0.00274,0.00274
57,24394.5,1.32556,0.83463,1.20149,0.88776,0.80222,0.84422,0.57207,1.07052,0.4825,1.03146,0.002608,0.002608,0.002608
58,24821.1,1.33142,0.83659,1.20325,0.87825,0.80935,0.84777,0.5723,1.07018,0.48126,1.0311,0.002476,0.002476,0.002476
59,25247.8,1.32573,0.83171,1.19622,0.88452,0.8065,0.84758,0.57219,1.0697,0.48041,1.03069,0.002344,0.002344,0.002344
60,25677.1,1.32875,0.8327,1.2004,0.88804,0.80496,0.84815,0.57131,1.06914,0.47939,1.0302,0.002212,0.002212,0.002212
61,26104.1,1.32557,0.82749,1.19725,0.8901,0.80729,0.84819,0.57111,1.06857,0.4786,1.02967,0.00208,0.00208,0.00208
62,26531.2,1.31785,0.81975,1.19649,0.89185,0.80633,0.84866,0.57146,1.06857,0.47761,1.02931,0.001948,0.001948,0.001948
63,26957.7,1.31567,0.81853,1.19387,0.8936,0.80701,0.84894,0.57294,1.0682,0.47643,1.0288,0.001816,0.001816,0.001816
64,27383.9,1.30659,0.81151,1.189,0.89686,0.80674,0.84911,0.57356,1.06782,0.47584,1.02823,0.001684,0.001684,0.001684
65,27811,1.30739,0.80812,1.19159,0.89821,0.80694,0.84914,0.57204,1.06729,0.47513,1.02788,0.001552,0.001552,0.001552
66,28239,1.35739,0.7808,1.22343,0.89967,0.80641,0.84921,0.57307,1.06663,0.47409,1.02745,0.00142,0.00142,0.00142
67,28664.3,1.34727,0.7714,1.21621,0.89166,0.80188,0.84898,0.57293,1.06581,0.47306,1.02687,0.001288,0.001288,0.001288
68,29090,1.33689,0.76514,1.20822,0.88436,0.80367,0.84934,0.57334,1.06497,0.47174,1.02623,0.001156,0.001156,0.001156
69,29516.4,1.33246,0.76269,1.20778,0.88229,0.80354,0.84998,0.57392,1.06474,0.47067,1.02579,0.001024,0.001024,0.001024
70,29942.3,1.32599,0.7522,1.20503,0.88329,0.80319,0.8508,0.575,1.0643,0.46975,1.0252,0.000892,0.000892,0.000892
